Id,Designator,Package,Quantity,Designation,Supplier and ref
49,U6,SOIJ-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSSIQ,
50,"U7,U9",SOT-23-5_HandSoldering,2,ZXCT108x,
51,U8,TSSOP-16-1EP_4.4x5mm_P0.65mm,1,LTC3783,
52,U10,TSSOP-16_4.4x5mm_P0.65mm,1,BQ76200,
53,D34,D_SMA,1,"5A, 50V",
54,D42,D_SMC,1,58V TVS,
55,D43,D_SMA,1,6V2,
56,U3,TO-252-2,1,L7805,
57,J4,JST_XH_B05B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05_Male,
58,J3,JST_XH_B04B-XH-A_1x04_P2.50mm_Vertical,1,B4B-XH-A(LF)(SN),
59,"Q19,Q22,Q23",TO-252-2,3,DMPH6050SK3,
60,L2,L_Axial_L31.75mm_D14.22mm_P36mm_Bourns,1,68uH,
61,"F2,F3,F4,F5",Fiducial_1mm_Dia_2mm_Outer,4,Fiducial,
